S No,State Code,State Name,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
464,15,Mizoram(State),727,Saitual,SAITUAL,Mizoram(State),STL,,000,Not Covered,,,,
744,9,Uttar Pradesh(State),177,Saharanpur,SAHARANPUR,Uttar Pradesh(State),SHR,01,132,Not Covered,,,,
204,24,Gujarat(State),458,Sabar Kantha,SABAR KANTHA,Gujarat(State),SKA,05,472,Partially Covered,,,,
229,6,Haryana(State),73,Rohtak,ROHTAK,Haryana(State),RHT,14,082,Not Covered,,,,
449,17,Meghalaya(State),276,Ri Bhoi,RI BHOI,Meghalaya(State),RGH,05,297,Not Covered,,,,
228,6,Haryana(State),72,Rewari,REWARI,Haryana(State),RWR,17,085,Not Covered,,,,
260,1,Jammu And Kashmir(State),627,Reasi,REASI,Jammu And Kashmir(State),REA,,020,Not Covered,,,,
510,21,Odisha(State),370,Rayagada,RAYAGADA,Odisha(State),RYG,27,396,Partially Covered,,,,
743,9,Uttar Pradesh(State),176,Rampur,RAMPUR,Uttar Pradesh(State),RMP,05,136,Not Covered,,,,
259,1,Jammu And Kashmir(State),621,Ramban,RAMBAN,Jammu And Kashmir(State),RMB,09,017,Not Covered,,,,
605,33,Tamil Nadu(State),583,Ramanathapuram,RAMANATHAPURAM,Tamil Nadu(State),RMN,27,626,Not Covered,,,,
573,8,Rajasthan(State),112,Rajsamand,RAJSAMAND,Rajasthan(State),RJS,25,123,Not Covered,,,,
258,1,Jammu And Kashmir(State),12,Rajouri,RAJOURI,Jammu And Kashmir(State),RJR,12,006,Not Covered,,,,
203,24,Gujarat(State),457,Rajkot,RAJKOT,Gujarat(State),RJK,09,476,Not Covered,,,,
742,9,Uttar Pradesh(State),175,Rae Bareli,RAE BARELI,Uttar Pradesh(State),RBL,28,158,Not Covered,,,,
776,19,West Bengal(State),321,Purulia,PURULIA,West Bengal(State),PRL,14,340,Not Covered,,,,
509,21,Odisha(State),369,Puri,PURI,Odisha(State),PUR,18,387,Not Covered,,,,
775,19,West Bengal(State),317,Purba Medinipur,PURBA MEDINIPUR,West Bengal(State),MPE,15,345,Not Covered,,,,
774,19,West Bengal(State),306,Purba Bardhaman,PURBA BARDHAMAN,West Bengal(State),BRD,09,335,Not Covered,,,,
257,1,Jammu And Kashmir(State),11,Pulwama,PULWAMA,Jammu And Kashmir(State),PLW,05,012,Not Covered,,,,
604,33,Tamil Nadu(State),582,Pudukkottai,PUDUKKOTTAI,Tamil Nadu(State),PDK,22,621,Not Covered,,,,
741,9,Uttar Pradesh(State),120,Prayagraj,PRAYAGRAJ,Uttar Pradesh(State),ALB,45,175,Not Covered,,,,
572,8,Rajasthan(State),629,Pratapgarh,PRATAPGARH,Rajasthan(State),PPG,,131,Partially Covered,,,,
740,9,Uttar Pradesh(State),174,Pratapgarh,PRATAPGARH,Uttar Pradesh(State),PRG,43,173,Not Covered,,,,
21,28,Andhra Pradesh(State),517,Prakasam,PRAKASAM,Andhra Pradesh(State),PRA,18,549,Not Covered,,,,
202,24,Gujarat(State),456,Porbandar,PORBANDAR,Gujarat(State),PRB,11,478,Not Covered,,,,
256,1,Jammu And Kashmir(State),10,Poonch,POONCH,Jammu And Kashmir(State),PNC,11,005,Not Covered,,,,
676,5,Uttarakhand(State),53,Pithoragarh,PITHORAGARH,Uttarakhand(State),PTH,07,062,Not Covered,,,,
739,9,Uttar Pradesh(State),173,Pilibhit,PILIBHIT,Uttar Pradesh(State),PLB,21,151,Not Covered,,,,
478,13,Nagaland(State),248,Phek,PHEK,Nagaland(State),PHK,08,266,Not Covered,,,,
603,33,Tamil Nadu(State),581,Perambalur,PERAMBALUR,Tamil Nadu(State),PRM,16,615,Not Covered,,,,
675,5,Uttarakhand(State),52,Pauri Garhwal,PAURI GARHWAL,Uttarakhand(State),PGR,06,061,Not Covered,,,,
532,3,Punjab(State),41,Patiala,PATIALA,Punjab(State),PTL,17,048,Not Covered,,,,
531,3,Punjab(State),662,Pathankot,PATHANKOT,Punjab(State),PTK,,000,Not Covered,,,,
201,24,Gujarat(State),455,Patan,PATAN,Gujarat(State),PAT,03,470,Not Covered,,,,
773,19,West Bengal(State),318,Paschim Medinipur,PASCHIM MEDINIPUR,West Bengal(State),MPW,15,344,Not Covered,,,,
772,19,West Bengal(State),704,Paschim Bardhaman,PASCHIM BARDHAMAN,West Bengal(State),MBR,,000,Not Covered,,,,
20,28,Andhra Pradesh(State),743,Parvathipuram Manyam,Parvathipuram Manyam,Andhra Pradesh(State),PRV,,000,Not Covered,,,,
48,12,Arunachal Pradesh(State),237,Papum Pare,PAPUM PARE,Arunachal Pradesh(State),PPM,04,248,Not Covered,,,,
227,6,Haryana(State),71,Panipat,PANIPAT,Haryana(State),PNP,07,075,Not Covered,,,,
226,6,Haryana(State),70,Panchkula,PANCHKULA,Haryana(State),PNK,01,069,Not Covered,,,,
200,24,Gujarat(State),454,Panch Mahals,PANCH MAHALS,Gujarat(State),PMS,17,484,Partially Covered,,,,
19,28,Andhra Pradesh(State),751,Palnadu,Palnadu,Andhra Pradesh(State),PLN,,000,Not Covered,,,,
570,8,Rajasthan(State),111,Pali,PALI,Rajasthan(State),PAL,20,118,Not Covered,,,,
584,11,Sikkim(State),741,Pakyong,Pakyong,Sikkim(State),PKY,,000,Not Covered,,,,
47,12,Arunachal Pradesh(State),723,Pakke Kessang,PAKKE KESSANG,Arunachal Pradesh(State),PKK,,000,Not Covered,,,,
508,21,Odisha(State),368,Nuapada,NUAPADA,Odisha(State),NPD,25,394,Not Covered,,,,
18,28,Andhra Pradesh(State),749,Ntr,NTR,Andhra Pradesh(State),TNR,,000,Not Covered,,,,
169,7,Delhi(State),82,North West,NORTH WEST,Delhi(State),NWD,01,090,Not Covered,,,,
771,19,West Bengal(State),303,North 24 Parganas,NORTH TWENTY FOUR PARGANAS,West Bengal(State),S24,11,337,Not Covered,,,,
175,30,Goa(State),551,North Goa,NORTH GOA,Goa(State),NGO,01,585,Not Covered,,,,
448,17,Meghalaya(State),656,North Garo Hills,NORTH GARO HILLS,Meghalaya(State),NGH,,000,Not Covered,,,,
168,7,Delhi(State),81,North East,NORTH EAST,Delhi(State),NED,03,092,Not Covered,,,,
2,35,Andaman And Nicobar Islands(State),632,North And Middle Andaman,NORTH AND MIDDLE ANDAMAN,Andaman And Nicobar Islands(State),NMA,,639,Not Covered,,,,
167,7,Delhi(State),80,North,NORTH,Delhi(State),NRD,02,091,Not Covered,,,,
437,14,Manipur(State),714,Noney,NONEY,Manipur(State),NNY,,000,Not Covered,,,,
476,13,Nagaland(State),736,Noklak,Noklak,Nagaland(State),NKL,,000,Not Covered,,,,
475,13,Nagaland(State),764,Niuland,Niuland,Nagaland(State),NLN,,000,Not Covered,,,,
1,35,Andaman And Nicobar Islands(State),603,Nicobars,NICOBARS,Andaman And Nicobar Islands(State),NIC,02,638,Not Covered,,,,
166,7,Delhi(State),79,New Delhi,NEW DELHI,Delhi(State),NDL,05,094,Not Covered,,,,
507,21,Odisha(State),367,Nayagarh,NAYAGARH,Odisha(State),NYG,16,385,Not Covered,,,,
199,24,Gujarat(State),453,Navsari,NAVSARI,Gujarat(State),NVS,24,490,Partially Covered,,,,
198,24,Gujarat(State),452,Narmada,NARMADA,Gujarat(State),NRM,20,487,Fully Covered,,,,
17,28,Andhra Pradesh(State),755,Nandyal,Nandyal,Andhra Pradesh(State),NND,,000,Not Covered,,,,
583,11,Sikkim(State),227,Namchi,Namchi,Sikkim(State),SDT,03,243,Not Covered,,,,
602,33,Tamil Nadu(State),580,Namakkal,NAMAKKAL,Tamil Nadu(State),NMK,09,609,Not Covered,,,,
83,18,Assam(State),298,Nalbari,NALBARI,Assam(State),NLB,07,323,Not Covered,,,,
674,5,Uttarakhand(State),51,Nainital,NAINITAL,Uttarakhand(State),NNT,11,066,Not Covered,,,,
569,8,Rajasthan(State),110,Nagaur,NAGAUR,Rajasthan(State),NGR,14,112,Not Covered,,,,
601,33,Tamil Nadu(State),579,Nagapattinam,NAGAPATTINAM,Tamil Nadu(State),NPM,19,618,Not Covered,,,,
82,18,Assam(State),297,Nagaon,NAGAON,Assam(State),NGN,10,305,Not Covered,,,,
770,19,West Bengal(State),320,Nadia,NADIA,West Bengal(State),NAD,10,336,Not Covered,,,,
506,21,Odisha(State),366,Nabarangpur,NABARANGPUR,Odisha(State),NBR,28,397,Partially Covered,,,,
738,9,Uttar Pradesh(State),172,Muzaffarnagar,MUZAFFARNAGAR,Uttar Pradesh(State),MZN,02,133,Not Covered,,,,
769,19,West Bengal(State),319,Murshidabad,MURSHIDABAD,West Bengal(State),MRS,07,333,Not Covered,,,,
197,24,Gujarat(State),673,Morbi,MORBI,Gujarat(State),MRI,,000,Not Covered,,,,
737,9,Uttar Pradesh(State),171,Moradabad,MORADABAD,Uttar Pradesh(State),MRB,04,135,Not Covered,,,,
474,13,Nagaland(State),247,Mon,MON,Nagaland(State),MON,01,261,Not Covered,,,,
473,13,Nagaland(State),246,Mokokchung,MOKOKCHUNG,Nagaland(State),MKK,03,262,Not Covered,,,,
530,3,Punjab(State),38,Moga,MOGA,Punjab(State),MOG,10,042,Not Covered,,,,
472,13,Nagaland(State),788,Meluri,Meluri,Nagaland(State),,,,Not Covered,,,,
735,9,Uttar Pradesh(State),169,Meerut,MEERUT,Uttar Pradesh(State),MRT,07,138,Not Covered,,,,
505,21,Odisha(State),365,Mayurbhanj,MAYURBHANJ,Odisha(State),MYR,07,376,Partially Covered,,,,
734,9,Uttar Pradesh(State),168,Mau,MAU,Uttar Pradesh(State),MAU,62,192,Not Covered,,,,
733,9,Uttar Pradesh(State),167,Mathura,MATHURA,Uttar Pradesh(State),MTH,14,145,Not Covered,,,,
81,18,Assam(State),296,Marigaon,MARIGAON,Assam(State),MGN,09,304,Not Covered,,,,
582,11,Sikkim(State),226,Mangan,Mangan,Sikkim(State),NDT,01,241,Not Covered,,,,
240,2,Himachal Pradesh(State),22,Mandi,MANDI,Himachal Pradesh(State),MND,05,027,Not Covered,,,,
463,15,Mizoram(State),266,Mamit,MAMIT,Mizoram(State),MMT,01,281,Not Covered,,,,
504,21,Odisha(State),364,Malkangiri,MALKANGIRI,Odisha(State),MLK,30,399,Partially Covered,,,,
768,19,West Bengal(State),316,Malda,MALDA,West Bengal(State),MLD,06,332,Not Covered,,,,
732,9,Uttar Pradesh(State),166,Mainpuri,MAINPURI,Uttar Pradesh(State),MPR,18,148,Not Covered,,,,
731,9,Uttar Pradesh(State),164,Mahrajganj,MAHRAJGANJ,Uttar Pradesh(State),MRG,57,187,Not Covered,,,,
730,9,Uttar Pradesh(State),165,Mahoba,MAHOBA,Uttar Pradesh(State),MHB,39,169,Not Covered,,,,
195,24,Gujarat(State),451,Mahesana,MAHESANA,Gujarat(State),MHN,04,471,Not Covered,,,,
223,6,Haryana(State),69,Mahendragarh,MAHENDRAGARH,Haryana(State),MGH,16,084,Not Covered,,,,
599,33,Tamil Nadu(State),578,Madurai,MADURAI,Tamil Nadu(State),MDR,24,623,Not Covered,,,,
462,15,Mizoram(State),265,Lunglei,LUNGLEI,Mizoram(State),LNG,06,286,Not Covered,,,,
729,9,Uttar Pradesh(State),162,Lucknow,LUCKNOW,Uttar Pradesh(State),LCK,27,157,Not Covered,,,,
45,12,Arunachal Pradesh(State),236,Lower Subansiri,LOWER SUBANSIRI,Arunachal Pradesh(State),LSI,05,255,Not Covered,,,,
44,12,Arunachal Pradesh(State),719,Lower Siang,LOWER SIANG,Arunachal Pradesh(State),LWR,,000,Not Covered,,,,
43,12,Arunachal Pradesh(State),235,Lower Dibang Valley,LOWER DIBANG VALLEY,Arunachal Pradesh(State),LDV,15,258,Not Covered,,,,
42,12,Arunachal Pradesh(State),666,Longding,LONGDING,Arunachal Pradesh(State),LDG,,000,Not Covered,,,,
41,12,Arunachal Pradesh(State),234,Lohit,LOHIT,Arunachal Pradesh(State),LHT,11,259,Not Covered,,,,
40,12,Arunachal Pradesh(State),724,Leparada,LEPARADA,Arunachal Pradesh(State),LPR,,000,Not Covered,,,,
335,37,Ladakh(State),9,Leh Ladakh,LEH LADAKH,Ladakh(State),LLD,07,003,Not Covered,,,,
461,15,Mizoram(State),264,Lawngtlai,LAWNGTLAI,Mizoram(State),LWN,07,287,Not Covered,,,,
728,9,Uttar Pradesh(State),161,Lalitpur,LALITPUR,Uttar Pradesh(State),LLP,37,167,Not Covered,,,,
336,31,Lakshadweep(State),553,Lakshadweep District,LAKSHADWEEP DISTRICT,Lakshadweep(State),LKS,01,587,Not Covered,,,,
79,18,Assam(State),295,Lakhimpur,LAKHIMPUR,Assam(State),LKP,12,307,Not Covered,,,,
239,2,Himachal Pradesh(State),21,Lahaul And Spiti,Lahaul and Spiti,Himachal Pradesh(State),LAS,03,025,Fully Covered,,,,
727,9,Uttar Pradesh(State),160,Kushinagar,KUSHINAGAR,Uttar Pradesh(State),KSN,59,189,Not Covered,,,,
39,12,Arunachal Pradesh(State),233,Kurung Kumey,KURUNG KUMEY,Arunachal Pradesh(State),KKY,14,256,Not Covered,,,,
222,6,Haryana(State),68,Kurukshetra,KURUKSHETRA,Haryana(State),KRK,04,072,Not Covered,,,,
16,28,Andhra Pradesh(State),511,Kurnool,KURNOOL,Andhra Pradesh(State),KUR,21,552,Not Covered,,,,
255,1,Jammu And Kashmir(State),8,Kupwara,KUPWARA,Jammu And Kashmir(State),KPW,01,001,Not Covered,,,,
238,2,Himachal Pradesh(State),20,Kullu,KULLU,Himachal Pradesh(State),KUL,04,026,Not Covered,,,,
254,1,Jammu And Kashmir(State),622,Kulgam,KULGAM,Jammu And Kashmir(State),KLG,,015,Not Covered,,,,
598,33,Tamil Nadu(State),577,Krishnagiri,KRISHNAGIRI,Tamil Nadu(State),KHN,05,631,Not Covered,,,,
15,28,Andhra Pradesh(State),510,Krishna,KRISHNA,Andhra Pradesh(State),KRS,16,547,Not Covered,,,,
38,12,Arunachal Pradesh(State),677,Kra Daadi,KRA DAADI,Arunachal Pradesh(State),KRD,,000,Not Covered,,,,
567,8,Rajasthan(State),109,Kota,KOTA,Rajasthan(State),KOT,30,127,Not Covered,,,,
503,21,Odisha(State),363,Koraput,KORAPUT,Odisha(State),KRP,29,398,Partially Covered,,,,
767,19,West Bengal(State),315,Kolkata,KOLKATA,West Bengal(State),KLK,17,342,Not Covered,,,,
460,15,Mizoram(State),263,Kolasib,KOLASIB,Mizoram(State),KLS,02,282,Not Covered,,,,
78,18,Assam(State),294,Kokrajhar,KOKRAJHAR,Assam(State),KKR,01,300,Not Covered,,,,
470,13,Nagaland(State),245,Kohima,KOHIMA,Nagaland(State),KHM,07,270,Not Covered,,,,
237,2,Himachal Pradesh(State),19,Kinnaur,KINNAUR,Himachal Pradesh(State),KIN,12,034,Fully Covered,,,,
502,21,Odisha(State),362,Khordha,KHORDHA,Odisha(State),KHD,17,386,Not Covered,,,,
726,9,Uttar Pradesh(State),159,Kheri,KHERI,Uttar Pradesh(State),KHR,23,153,Not Covered,,,,
194,24,Gujarat(State),450,Kheda,KHEDA,Gujarat(State),KHE,16,483,Not Covered,,,,
459,15,Mizoram(State),728,Khawzawl,KHAWZAWL,Mizoram(State),KHW,,000,Not Covered,,,,
37,12,Arunachal Pradesh(State),786,Keyi Panyor,Keyi Panyor,Arunachal Pradesh(State),,,,Not Covered,,,,
501,21,Odisha(State),361,Keonjhar,Kendujhar,Odisha(State),KNH,06,375,Not Covered,,,,
500,21,Odisha(State),360,Kendrapara,KENDRAPARA,Odisha(State),KND,10,379,Not Covered,,,,
725,9,Uttar Pradesh(State),158,Kaushambi,KAUSHAMBI,Uttar Pradesh(State),KSB,44,174,Not Covered,,,,
252,1,Jammu And Kashmir(State),7,Kathua,KATHUA,Jammu And Kashmir(State),KTH,14,007,Not Covered,,,,
724,9,Uttar Pradesh(State),633,Kasganj,Kasganj,Uttar Pradesh(State),KAS,,202,Not Covered,,,,
597,33,Tamil Nadu(State),576,Karur,KARUR,Tamil Nadu(State),KRR,14,613,Not Covered,,,,
221,6,Haryana(State),67,Karnal,KARNAL,Haryana(State),KRL,06,074,Not Covered,,,,
334,37,Ladakh(State),6,Kargil,KARGIL,Ladakh(State),KRG,08,004,Not Covered,,,,
77,18,Assam(State),292,Karbi Anglong,KARBI ANGLONG,Assam(State),KAG,19,314,Not Covered,,,,
565,8,Rajasthan(State),108,Karauli,KARAULI,Rajasthan(State),KAR,09,107,Not Covered,,,,
526,3,Punjab(State),35,Kapurthala,KAPURTHALA,Punjab(State),KPR,03,036,Not Covered,,,,
723,9,Uttar Pradesh(State),157,Kanpur Nagar,KANPUR NAGAR,Uttar Pradesh(State),KPN,34,164,Not Covered,,,,
722,9,Uttar Pradesh(State),156,Kanpur Dehat,KANPUR DEHAT,Uttar Pradesh(State),KPD,33,163,Not Covered,,,,
596,33,Tamil Nadu(State),575,Kanniyakumari,KANNIYAKUMARI,Tamil Nadu(State),KNY,30,629,Not Covered,,,,
721,9,Uttar Pradesh(State),155,Kannauj,KANNAUJ,Uttar Pradesh(State),KNJ,30,160,Not Covered,,,,
236,2,Himachal Pradesh(State),18,Kangra,KANGRA,Himachal Pradesh(State),KNG,02,024,Not Covered,,,,
499,21,Odisha(State),359,Kandhamal,KANDHAMAL,Odisha(State),KNM,21,390,Not Covered,,,,
595,33,Tamil Nadu(State),574,Kancheepuram,KANCHIPURAM,Tamil Nadu(State),KCP,03,604,Not Covered,,,,
76,18,Assam(State),618,Kamrup Metro,KAMRUP MOHANAGAR,Assam(State),KMT,,322,Not Covered,,,,
75,18,Assam(State),291,Kamrup,KAMRUP,Assam(State),KMP,06,321,Not Covered,,,,
36,12,Arunachal Pradesh(State),718,Kamle,KAMLE,Arunachal Pradesh(State),KML,,000,Not Covered,,,,
766,19,West Bengal(State),702,Kalimpong,KALIMPONG,West Bengal(State),MPN,,000,Not Covered,,,,
498,21,Odisha(State),358,Kalahandi,KALAHANDI,Odisha(State),KLH,26,395,Not Covered,,,,
14,28,Andhra Pradesh(State),746,Kakinada,Kakinada,Andhra Pradesh(State),KKN,,000,Not Covered,,,,
220,6,Haryana(State),66,Kaithal,KAITHAL,Haryana(State),KTL,05,073,Not Covered,,,,
193,24,Gujarat(State),449,Kachchh,KACHCHH,Gujarat(State),KCH,01,468,Not Covered,,,,
192,24,Gujarat(State),448,Junagadh,JUNAGADH,Gujarat(State),JNG,12,479,Not Covered,,,,
74,18,Assam(State),290,Jorhat,JORHAT,Assam(State),JRH,17,312,Not Covered,,,,
564,8,Rajasthan(State),107,Jodhpur,JODHPUR,Rajasthan(State),JDH,15,113,Not Covered,,,,
219,6,Haryana(State),65,Jind,JIND,Haryana(State),JND,09,077,Not Covered,,,,
563,8,Rajasthan(State),106,Jhunjhunu,JHUNJHUNU,Rajasthan(State),JHN,05,103,Not Covered,,,,
497,21,Odisha(State),357,Jharsuguda,JHARSUGUDA,Odisha(State),JHR,02,371,Not Covered,,,,
765,19,West Bengal(State),703,Jhargram,Jhargram,West Bengal(State),GRM,,000,Not Covered,,,,
720,9,Uttar Pradesh(State),153,Jhansi,JHANSI,Uttar Pradesh(State),JHS,36,166,Not Covered,,,,
562,8,Rajasthan(State),105,Jhalawar,JHALAWAR,Rajasthan(State),JHL,32,129,Not Covered,,,,
218,6,Haryana(State),64,Jhajjar,JHAJJAR,Haryana(State),JHJ,15,083,Not Covered,,,,
719,9,Uttar Pradesh(State),152,Jaunpur,JAUNPUR,Uttar Pradesh(State),JNP,64,194,Not Covered,,,,
191,24,Gujarat(State),447,Jamnagar,JAMNAGAR,Gujarat(State),JMN,10,477,Not Covered,,,,
251,1,Jammu And Kashmir(State),5,Jammu,JAMMU,Jammu And Kashmir(State),JMU,13,021,Not Covered,,,,
764,19,West Bengal(State),314,Jalpaiguri,JALPAIGURI,West Bengal(State),JLP,02,328,Not Covered,,,,
561,8,Rajasthan(State),104,Jalore,JALORE,Rajasthan(State),JLR,18,116,Not Covered,,,,
718,9,Uttar Pradesh(State),151,Jalaun,JALAUN,Uttar Pradesh(State),JLU,35,165,Not Covered,,,,
525,3,Punjab(State),34,Jalandhar,JALANDHAR,Punjab(State),JLN,04,037,Not Covered,,,,
560,8,Rajasthan(State),103,Jaisalmer,JAISALMER,Rajasthan(State),JSL,16,114,Not Covered,,,,
559,8,Rajasthan(State),102,Jaipur,JAIPUR,Rajasthan(State),JPR,12,110,Not Covered,,,,
495,21,Odisha(State),355,Jagatsinghapur,JAGATSINGHAPUR,Odisha(State),JGT,11,380,Not Covered,,,,
432,14,Manipur(State),256,Imphal West,IMPHAL WEST,Manipur(State),IMW,06,277,Not Covered,,,,
431,14,Manipur(State),255,Imphal East,IMPHAL EAST,Manipur(State),IME,07,278,Not Covered,,,,
763,19,West Bengal(State),313,Howrah,HOWRAH,West Bengal(State),HWR,16,341,Not Covered,,,,
524,3,Punjab(State),33,Hoshiarpur,HOSHIARPUR,Punjab(State),HSP,05,038,Not Covered,,,,
762,19,West Bengal(State),312,Hooghly,HOOGHLY,West Bengal(State),HOO,12,338,Not Covered,,,,
217,6,Haryana(State),63,Hisar,HISAR,Haryana(State),HSR,12,080,Not Covered,,,,
717,9,Uttar Pradesh(State),163,Hathras,HATHRAS,Uttar Pradesh(State),HTR,13,144,Not Covered,,,,
673,5,Uttarakhand(State),50,Haridwar,HARIDWAR,Uttarakhand(State),HRD,13,068,Not Covered,,,,
716,9,Uttar Pradesh(State),150,Hardoi,HARDOI,Uttar Pradesh(State),HAR,25,155,Not Covered,,,,
715,9,Uttar Pradesh(State),661,Hapur,HAPUR,Uttar Pradesh(State),HAP,,000,Not Covered,,,,
558,8,Rajasthan(State),101,Hanumangarh,HANUMANGARH,Rajasthan(State),HGH,02,100,Not Covered,,,,
235,2,Himachal Pradesh(State),17,Hamirpur,HAMIRPUR,Himachal Pradesh(State),HMP,06,028,Not Covered,,,,
714,9,Uttar Pradesh(State),149,Hamirpur,HAMIRPUR,Uttar Pradesh(State),HRP,38,168,Not Covered,,,,
72,18,Assam(State),289,Hailakandi,HAILAKANDI,Assam(State),HLK,23,318,Not Covered,,,,
581,11,Sikkim(State),228,Gyalshing,Gyalshing,Sikkim(State),WDT,02,242,Not Covered,,,,
216,6,Haryana(State),62,Gurugram,GURUGRAM,Haryana(State),GRG,18,086,Not Covered,,,,
523,3,Punjab(State),32,Gurdaspur,GURDASPUR,Punjab(State),GRD,01,035,Not Covered,,,,
13,28,Andhra Pradesh(State),506,Guntur,GUNTUR,Andhra Pradesh(State),GNT,17,548,Not Covered,,,,
713,9,Uttar Pradesh(State),148,Gorakhpur,GORAKHPUR,Uttar Pradesh(State),GKP,58,188,Not Covered,,,,
712,9,Uttar Pradesh(State),147,Gonda,GONDA,Uttar Pradesh(State),GND,53,183,Not Covered,,,,
71,18,Assam(State),288,Golaghat,GOLAGHAT,Assam(State),GLG,18,313,Not Covered,,,,
70,18,Assam(State),287,Goalpara,GOALPARA,Assam(State),GLP,03,302,Not Covered,,,,
190,24,Gujarat(State),675,Gir Somnath,GIR SOMNATH,Gujarat(State),GRS,,000,Not Covered,,,,
711,9,Uttar Pradesh(State),146,Ghazipur,GHAZIPUR,Uttar Pradesh(State),GZP,65,195,Not Covered,,,,
710,9,Uttar Pradesh(State),145,Ghaziabad,GHAZIABAD,Uttar Pradesh(State),GZB,09,140,Not Covered,,,,
709,9,Uttar Pradesh(State),144,Gautam Buddha Nagar,GAUTAM BUDDHA NAGAR,Uttar Pradesh(State),GBN,10,141,Not Covered,,,,
494,21,Odisha(State),354,Ganjam,GANJAM,Odisha(State),GNJ,19,388,Not Covered,,,,
580,11,Sikkim(State),225,Gangtok,Gangtok,Sikkim(State),EDT,04,244,Not Covered,,,,
557,8,Rajasthan(State),100,Ganganagar,GANGANAGAR,Rajasthan(State),GNG,01,099,Not Covered,,,,
189,24,Gujarat(State),446,Gandhinagar,GANDHINAGAR,Gujarat(State),GNR,06,473,Not Covered,,,,
250,1,Jammu And Kashmir(State),626,Ganderbal,GANDERBAL,Jammu And Kashmir(State),GDR,,011,Not Covered,,,,
493,21,Odisha(State),353,Gajapati,GAJAPATI,Odisha(State),GJP,20,389,Not Covered,,,,
708,9,Uttar Pradesh(State),143,Firozabad,FIROZABAD,Uttar Pradesh(State),FIR,16,147,Not Covered,,,,
522,3,Punjab(State),31,Ferozepur,FEROZEPUR,Punjab(State),FRZ,11,043,Not Covered,,,,
707,9,Uttar Pradesh(State),142,Fatehpur,FATEHPUR,Uttar Pradesh(State),FTP,42,172,Not Covered,,,,
520,3,Punjab(State),30,Fatehgarh Sahib,FATEHGARH SAHIB,Punjab(State),FTG,08,040,Not Covered,,,,
215,6,Haryana(State),61,Fatehabad,FATEHABAD,Haryana(State),FTB,10,078,Not Covered,,,,
706,9,Uttar Pradesh(State),141,Farrukhabad,FARRUKHABAD,Uttar Pradesh(State),FKB,29,159,Not Covered,,,,
519,3,Punjab(State),29,Faridkot,FARIDKOT,Punjab(State),FRD,13,045,Not Covered,,,,
214,6,Haryana(State),60,Faridabad,FARIDABAD,Haryana(State),FRB,19,088,Not Covered,,,,
705,9,Uttar Pradesh(State),139,Etawah,ETAWAH,Uttar Pradesh(State),ETW,31,161,Not Covered,,,,
704,9,Uttar Pradesh(State),138,Etah,ETAH,Uttar Pradesh(State),ETA,17,201,Not Covered,,,,
593,33,Tamil Nadu(State),573,Erode,ERODE,Tamil Nadu(State),ERO,10,610,Not Covered,,,,
12,28,Andhra Pradesh(State),748,Eluru,Eluru,Andhra Pradesh(State),LR,,000,Not Covered,,,,
35,12,Arunachal Pradesh(State),232,East Siang,EAST SIANG,Arunachal Pradesh(State),ESG,08,251,Not Covered,,,,
447,17,Meghalaya(State),274,East Khasi Hills,EAST KHASI HILLS,Meghalaya(State),EKH,06,298,Not Covered,,,,
34,12,Arunachal Pradesh(State),231,East Kameng,EAST KAMENG,Arunachal Pradesh(State),EKG,03,247,Not Covered,,,,
446,17,Meghalaya(State),657,East Jaintia Hills,EAST JAINTIA HILLS,Meghalaya(State),EJH,,000,Not Covered,,,,
11,28,Andhra Pradesh(State),505,East Godavari,EAST GODAVARI,Andhra Pradesh(State),EGI,14,545,Not Covered,,,,
445,17,Meghalaya(State),273,East Garo Hills,EAST GARO HILLS,Meghalaya(State),EGH,02,294,Not Covered,,,,
165,7,Delhi(State),78,East,EAST,Delhi(State),EST,04,093,Not Covered,,,,
556,8,Rajasthan(State),99,Dungarpur,DUNGARPUR,Rajasthan(State),DNG,27,124,Partially Covered,,,,
249,1,Jammu And Kashmir(State),4,Doda,DODA,Jammu And Kashmir(State),DOD,09,016,Not Covered,,,,
659,38,The Dadra And Nagar Haveli And Daman And Diu(State),464,Diu,DIU,The Dadra And Nagar Haveli And Daman And Diu(State),DIU,01,494,Not Covered,,,,
592,33,Tamil Nadu(State),572,Dindigul,DINDIGUL,Tamil Nadu(State),DIN,13,612,Not Covered,,,,
468,13,Nagaland(State),244,Dimapur,DIMAPUR,Nagaland(State),DMP,06,265,Not Covered,,,,
69,18,Assam(State),299,Dima Hasao,DIMA HASAO,Assam(State),DHO,20,315,Not Covered,,,,
68,18,Assam(State),286,Dibrugarh,DIBRUGARH,Assam(State),DBR,15,310,Not Covered,,,,
33,12,Arunachal Pradesh(State),230,Dibang Valley,DIBANG VALLEY,Arunachal Pradesh(State),DBN,10,257,Not Covered,,,,
67,18,Assam(State),285,Dhubri,DHUBURI,Assam(State),DHB,02,301,Not Covered,,,,
554,8,Rajasthan(State),98,Dholpur,DHOLPUR,Rajasthan(State),DLP,08,106,Not Covered,,,,
492,21,Odisha(State),352,Dhenkanal,DHENKANAL,Odisha(State),DHK,14,383,Not Covered,,,,
